Database,Authors,Title,Journal,Year,Volume,Issue,Pages,DOI,URL,Abstract,Keywords
ScienceDirect,"Amir Khosravian, Abdollah Amirkhani, Hossein Kashiani, Masoud Masih-Tehrani,","Generalizing state-of-the-art object detectors for autonomous vehicles in unseen environments,","Expert Systems with Applications,","115417,","183,",,,https://doi.org/10.1016/j.eswa.2021.115417.,https://www.sciencedirect.com/science/article/pii/S0957417421008368,"In scene understanding for autonomous vehicles (AVs), models trained on the available datasets fail to generalize well to the complex, real-world scenarios with higher dynamics. In this work, we attempt to handle the distribution mismatch by employing the generative adversarial network (GAN) and weather modeling to strengthen the intra-domain data. We also alleviate the fragility of our trained models against natural distortions with state-of-the-art augmentation approaches. Finally, we assess our method for cross-domain object detection through CARLA simulation. Our experiments demonstrate that: (1) Augmenting training class with even limited intra-domain data captured from the adverse weather conditions boosts the generalization of the two kinds of object detectors; (2) Exploiting GANs and weather modeling to elaborately simulate the adverse, intra-domain weather conditions manages to surmount the adverse data scarcity issue for intra-domain object detection; (3) A combination of Augmix and style augmentations not only can promote the robustness of our trained models against different natural distortions but also can boost their performance in the cross-domain object detection; (4) Training GANs for unsupervised image-to-image translation by means of the existing, large-scale datasets outside of our training domain is found beneficial to alleviate image-based and instance-based domain shifts.",Autonomous vehicles; Object detection; Distribution mismatch; Natural distortions; Cross-domain robustness
ScienceDirect,"Carmen Gheorghe, Mihai Duguleana, Razvan Gabriel Boboc, Cristian Cezar Postelnicu,","Analyzing Real-Time Object Detection with YOLO Algorithm in Automotive Applications: A Review,","CMES - Computer Modeling in Engineering and Sciences,","2024,","141, Issue 3,",,"1939-1981,",https://doi.org/10.32604/cmes.2024.054735.,https://www.sciencedirect.com/science/article/pii/S1526149224003011,"Identifying objects in real-time is a technology that is developing rapidly and has a huge potential for expansion in many technical fields. Currently, systems that use image processing to detect objects are based on the information from a single frame. A video camera positioned in the analyzed area captures the image, monitoring in detail the changes that occur between frames. The You Only Look Once (YOLO) algorithm is a model for detecting objects in images, that is currently known for the accuracy of the data obtained and the fast-working speed. This study proposes a comprehensive literature review of YOLO research, as well as a bibliometric analysis to map the trends in the automotive field from 2020 to 2024. Object detection applications using YOLO were categorized into three primary domains: road traffic, autonomous vehicle development, and industrial settings. A detailed analysis was conducted for each domain, providing quantitative insights into existing implementations. Among the various YOLO architectures evaluated (v2–v8, H, X, R, C), YOLO v8 demonstrated superior performance with a mean Average Precision (mAP) of 0.99.",YOLO; automotive; autonomous vehicles; traffic; industry
ScienceDirect,"Alireza Ghasemieh, Rasha Kashef,","3D object detection for autonomous driving: Methods, models, sensors, data, and challenges,","Transportation Engineering,","100115,","8,",,,https://doi.org/10.1016/j.treng.2022.100115.,https://www.sciencedirect.com/science/article/pii/S2666691X22000136,"Detection of the surrounding objects of a vehicle is the most crucial step in autonomous driving. Failure to identify those objects correctly in a timely manner can cause irreparable damage, impacting our safety and society. Several studies have been introduced to identify these objects in the two-dimensional (2D) and three-dimensional (3D) vector space. The 2D object detection method has achieved remarkable success; however, in the last few years, detecting objects in 3D have received more remarkable adoption. 3D object recognition has several advantages over 2D detection methods, as more accurate information about the environment is obtained for better detection. For example, the depth of the images is not considered in the 2D detection, which reduces the detection accuracy. Despite considerable efforts in 3D object detection, it has not yet reached the stage of maturity. Therefore, in this paper, we aim at providing a comprehensive overview of the state-of-the-art 3D object detection methods, with a focus on 1) identifying advantages and limitations, 2) revelling a novel categorization of the literature, 3) outlying the various training procedures, 4) highlighting the research gap in the existing methods and 5) building a road map for future directions.",Autonomous vehicles; Sensors; LiDAR; Point cloud; Stereo images; 3D object detection
ScienceDirect,"Wensheng Zhang, Hongli Shi, Yunche Zhao, Zhenan Feng, Ruggiero Lovreglio,","MMAF-Net: Multi-view multi-stage adaptive fusion for multi-sensor 3D object detection,","Expert Systems with Applications,","122716,","242,",,,https://doi.org/10.1016/j.eswa.2023.122716.,https://www.sciencedirect.com/science/article/pii/S0957417423032189,"In this paper, we propose a 3D object detection method called MMAF-Net that is based on the multi-view and multi-stage adaptive fusion of RGB images and LiDAR point cloud data. This is an end-to-end architecture, which combines the characteristics of RGB images, the front view of point clouds based on reflection intensity, and the bird’s eye view of point clouds. It also adopts a multi-stage fusion approach of “data-level fusion + feature-level fusion” to fully exploit the strength of multimodal information. Our proposed method addresses key challenges found in current 3D object detection methods for autonomous driving, including insufficient feature extraction from multimodal data, rudimentary fusion techniques, and sensitivity to distance and occlusion. To ensure the comprehensive integration of multimodal information, we present a series of targeted fusion methods. Firstly, we propose a novel input form that encodes dense point cloud reflectivity information into the image to enhance its representational power. Secondly, we design the Region Attention Adaptive Fusion module utilizing an attention mechanism to guide the network in adaptively adjusting the importance of different features. Finally, we extend the 2D DIOU (Distance Intersection over Union) loss function to 3D and develop a joint regression loss based on 3D_DIOU and SmoothL1 to optimize the similarity between detected and ground truth boxes. The experimental results on the KITTI dataset demonstrate that MMAF-Net effectively addresses the challenges posed by highly obscured or crowded scenes while maintaining real-time performance and improving the detection accuracy of smaller and more difficult objects that are occluded at far distances.",3D object detection; Multi-sensor fusion; Attention mechanism; Joint regression loss; Autonomous driving
ScienceDirect,"Linh Trinh, Siegfried Mercelis, Ali Anwar,","A comprehensive review of datasets and deep learning techniques for vision in unmanned surface vehicles,","Ocean Engineering,","121501,","334,",,,https://doi.org/10.1016/j.oceaneng.2025.121501.,https://www.sciencedirect.com/science/article/pii/S0029801825011850,"Unmanned Surface Vehicles (USVs) have emerged as a major platform in maritime operations, capable of supporting a wide range of applications. USVs allow for difficult unmanned tasks in harsh maritime environments. With the rapid development of USVs, many vision tasks such as detection and segmentation become increasingly important. Datasets play an important role in encouraging and improving the research and development of reliable vision algorithms for USVs. In this regard, a large number of recent studies have focused on the release of vision datasets for USVs. Along with the development of datasets, a variety of deep learning techniques have also been studied, with a focus on USVs. However, there is a lack of a systematic review of recent studies in both datasets and vision techniques to provide a comprehensive picture of the current development of vision on USVs, including limitations and trends. In this study, we provide a comprehensive review of both USV datasets and deep learning techniques for vision tasks. Our review was conducted using a large number of vision datasets from USVs. We elaborate several challenges and potential opportunities for research and development in USV vision based on a thorough analysis of current datasets and deep learning techniques.",Unmanned surface vessels; Datasets; Deep learning; Computer vision
ScienceDirect,"Yifan Liu, Yong Zhang, Rukai Lan, Cheng Cheng, Zhaolong Wu,","AWARDistill: Adaptive and robust 3D object detection in adverse conditions through knowledge distillation,","Expert Systems with Applications,","126032,","266,",,,https://doi.org/10.1016/j.eswa.2024.126032.,https://www.sciencedirect.com/science/article/pii/S0957417424028999,"3D object detection is a crucial component of autonomous vehicle perception, but adverse weather conditions can affect sensor performance, leading to a deterioration in data quality, thereby posing significant challenges to the further development of perception. This paper presents a novel, robust 3D object detection framework to address this issue. Firstly, to tackle the problem of lacking adverse weather datasets, we propose the Multi-modal Adverse-Weather Data Simulation Theory (MIST), which employs optical models to simulate fog and replicates the dynamic properties of rain and snow to recreate real-world circumstances. Secondly, we propose the Adaptive and Robust 3D Object Detection Framework in Adverse Conditions through Knowledge Distillation (AWARDistill), which employs staged knowledge distillation to enable the model to adapt to adverse weather conditions, significantly enhancing detection accuracy and robustness. Additionally, we designed two modules that can be integrated into other detection frameworks to enhance robustness. We evaluated the performance of AWARDistill on multiple datasets. On the KITTI dataset, our model attained an average precision of about 88% and can efficiently adapt to extreme weather. Extensive experiments demonstrate our model’s effectiveness and superiority, providing strong support for autonomous driving in challenging weather environments.",Autonomous driving; 3D object detection; Adverse weather; Knowledge distillation
ScienceDirect,"Bharat Mahaur, K.K. Mishra, Anoj Kumar,","An improved lightweight small object detection framework applied to real-time autonomous driving,","Expert Systems with Applications,","121036,","234,",,,https://doi.org/10.1016/j.eswa.2023.121036.,https://www.sciencedirect.com/science/article/pii/S0957417423015385,"Recent deep learning-based object detectors have shown compelling performance for the detection of large objects in autonomous driving applications. However, the detection of small objects like traffic signs and traffic lights is challenging owing to the complex nature of such objects. This article investigates how an existing object detector can be adjusted to address specific tasks and how these modifications can impact the detection of small objects. In particular, we explore and introduce architectural changes to the different components of the popular YOLOv5 model in order to improve its performance in the detection of small objects for autonomous driving. Initially, we propose group depthwise separable convolution as the improved convolution unit to replace standard convolution. We then integrate this unit to create the attention-based dilated CSP block. Lastly, this block is combined with several proposed modules, including the improved SPP, improved PANet, and improved information paths, to form our IS-YOLOv5 model. We also integrate kernel pruning on the network to accelerate the model deployment on vehicle-mounted mobile platform due to limited computing resources and real-time constraints. Specifically, we propose the versatile network pruning (VNP) technique based on Taylor criterion ranking to prune less-essential kernels in the network. We will show that our modifications barely increase the complexity but significantly improve the detection accuracy and speed. Compared to the conventional YOLOv5, the proposed IS-YOLOv5 model increases the mAP by 8.35% on the BDD100K dataset. Besides, our proposed model improves the detection speed in FPS by 3.10% compared to the YOLOv5 model. When using the VNP scheme, FPS is further increased by 52.14%, while the model size and complexity are reduced by 39.29% and 47.81%, with almost no change in mAP. Nevertheless, when compared to state-of-the-art models, IS-YOLOv5+VNP is found to be conducive to the deployment in autonomous driving systems.",Small object detection; Architectural changes; YOLOv5; Kernel pruning; Lightweight design; Autonomous driving
ScienceDirect,"Wei Chen, Yan Li, Zijian Tian, Fan Zhang,","2D and 3D object detection algorithms from images: A Survey,","Array,","100305,","19,",,,https://doi.org/10.1016/j.array.2023.100305.,https://www.sciencedirect.com/science/article/pii/S2590005623000309,"Object detection is a crucial branch of computer vision that aims to locate and classify objects in images. Using deep convolutional neural networks (CNNs) as the primary framework for object detection can efficiently extract features, which is closer to real-time performance than the traditional model that extracts features manually. In recent years, the rise of Transformer with powerful self-attention mechanisms has further enhanced performance to a new level. However, when it comes to specific vision tasks in the real world, it is necessary to obtain 3D information about the spatial coordinates, orientation, and velocity of objects, which makes research on object detection in 3D scenes more active. Although LiDAR-based 3D object detection algorithms have excellent performance, they are difficult to popularize in practical applications due to their high price. Hence, we summarize the development process, different frameworks, contributions, advantages, disadvantages, and development trends of image-based 2D and 3D object detection algorithms in recent years to help more researchers better understand this field. Besides, representative datasets，evaluation metrics，related techniques and applications are introduced, and some valuable research directions are discussed.",Image; Object detection; CNNs; Transformer; 3D
ScienceDirect,"Li Wang, Dawei Zhao, Tao Wu, Hao Fu, Zhiyu Wang, Liang Xiao, Xin Xu, Bin Dai,","Drosophila-inspired 3D moving object detection based on point clouds,","Information Sciences,","2020,","534,",,"154-171,",https://doi.org/10.1016/j.ins.2020.05.006.,https://www.sciencedirect.com/science/article/pii/S0020025520303960,"3D moving object detection is one of the most critical tasks in dynamic scene analysis. In this paper, we propose a novel Drosophila-inspired 3D moving object detection method using Lidar sensors. According to the theory of elementary motion detector, we have developed a motion detector based on the shallow visual neural pathway of Drosophila. This detector is sensitive to the movement of objects and can well suppress background noise. Designing neural circuits with different connection modes, the approach searches for motion areas in a coarse-to-fine fashion and extracts point clouds of each motion area to form moving object proposals. An improved 3D object detection network is then used to estimate the point clouds of each proposal and efficiently generates the 3D bounding boxes and the object categories. We evaluate the proposed approach on the widely-used KITTI benchmark, and state-of-the-art performance was obtained by using the proposed approach on the task of motion detection.",3D moving object detection; Elementary motion detector; Drosophila-inspired model; Neural network; Autonomous driving
ScienceDirect,"Kishore Kumar Anguchamy, Venketesh Palanisamy,","Real-time object detection using improvised YOLOv4 and feature mapping technique for autonomous driving,","Expert Systems with Applications,","127452,","280,",,,https://doi.org/10.1016/j.eswa.2025.127452.,https://www.sciencedirect.com/science/article/pii/S0957417425010747,"Drivable area detection and object detection are the primary actors in any autonomous driving technology. The proposed solution in this article contemplates a model for object detection in real-time with an improvised deep learning solution implemented with a modified YOLO algorithm. The proposed algorithm is replaced with the feature pyramid in place of spatial dimension features, for reducing the computational complexity of the standard YOLOv4 algorithm. The attention span of the YOLOv4 algorithm is improved by CBAM (Convolutional Block Attention Module) structures, where the speed of detecting the objects is associated with the keyframes and feature pyramid. BDD100K data set is available open-source and considered to be the benchmark for autonomous driving technology. This dataset is used for evaluating the performance of the proposed technique and the speed of detection significantly improved 4.72 frames per second when compared against other techniques.",Convolutional neural network; Deep learning; Object detection; Self-driving car; Feature mapping
